Location,Latitude,Longitude,County,State,Climate Zone
"Jackson, Mississippi",32.2981,-90.1806,Jackson County,Mississippi,Hot-Humid
"Knoxville, Tennessee",35.9653,-83.9233,Knox County,Tennessee,Mixed-Humid
"Greensboro, North Carolina",36.0726,-79.7915,Guilford County,North Carolina,Mixed-Humid
"Richmond, Virginia",37.5407,-77.436,N/A,Virginia,Mixed-Humid
"Charleston, West Virginia",38.3498,-81.6326,Kanawha County,West Virginia,Mixed-Humid
"Baltimore, Maryland",39.2905,-76.6104,Baltimore County,Maryland,Mixed-Humid
"Seaford, Delaware",38.6412,-75.611,Sussex County,Delaware,Mixed-Humid
"Trenton, New Jersey",40.2202,-74.7642,Mercer County,New Jersey,Cold
"Albany, New York",42.6518,-73.7545,Albany County,New York,Cold
"Springfield, Massachusetts",42.1013,-72.5893,Hampden County,Massachusetts,Cold
"Providence, Rhode Island",41.8246,-71.4142,Providence County,Rhode Island,Cold
"Concord, New Hampshire",43.2062,-71.5398,Merrimack County,New Hampshire,Cold
"Indianapolis, Indiana",39.7691,-86.158,Marion County,Indiana,Cold
"Peoria, Illinois",40.6927,-89.5928,Peoria County,Illinois,Cold
"Madison, Wisconsin",43.0722,-89.4008,Dane County,Wisconsin,Cold
